Data,AAPL,ATSG,AVNW,BOOM,BREW,BRK_A,CPRT,EZPW,HWKN,HXL,HZO,IART,IBKC,INGR,MPWR,INO,INSM,INSY,SEAC,MCHP,MCHX,NTRS,NUAN,SCSS,TBBK,TCBK,UTHR,YRCW,YUM,ZIXI
2005-01-03,63.29,8.64,2.17,11.62,3.55,87100,25.06,14.6,11.81,14.64,29.42,35.91,64.3,52.86,8.87,3.9,2.3,12.17,17.26,26,22.09,47.43,4.21,17.64,16.72,23.31,44.05,54.24,46.82,4.99
2005-01-04,63.94,8.6,2.15,11.07,3.53,85901,24.14,14.27,11.811,14.48,28.9,35.4,65.1,52.27,8.65,3.5,2.21,12.16,16.87,25.55,20.5,47.02,4.01,17.15,16.72,22.37,42.4,53.45,46.2,4.83
2005-01-05,64.5,8.37,2.11,10.88,3.5,85700,23.62,14.74,11.89,14.21,27.82,35.96,63.15,51.6,8.3,3.55,2,11.9,16.4,24.77,20.4,46.84,3.95,16.89,16.72,22.81,42.73,52.26,46.09,4.75
2005-01-06,64.55,8.17,2.18,10.75,3.503,86192,23.57,14.67,11.85,14.51,28.45,36.35,64.32,54.53,8.24,3.6,1.98,12.29,16.7,24.481,20.39,47.39,3.98,16.98,16.72,22.25,43.38,52.38,46.61,4.53
2005-01-07,69.25,8.04,2.17,10.13,3.5,87500,23.05,14.69,11.75,14.43,28.48,36.12,61.19,53.85,8.25,3.79,1.83,11.9,16.28,24.53,20.49,46.63,4.22,17,16.72,22.37,42.56,50.59,46.35,4.52
2005-01-10,68.96,7.98,2.15,10.2,3.68,87790,23.16,14.69,11.99,14.75,28.69,36.23,62.05,54.65,7.8,3.76,1.79,11.98,16.41,24.52,20.79,46.46,4.2,17.15,16.72,21.67,42.56,52.06,46.36,4.4
2005-01-11,64.56,7.85,2.1,9.26,3.67,86390,23.45,14.13,11.85,15.05,28.18,36.18,61.22,53.87,7.22,3.89,1.86,11.47,15.98,24.28,19.66,46,4.05,18.96,16.72,21.82,41.37,51.13,46.51,4.19
2005-01-12,65.46,7.78,2.07,9.06,3.67,86300,23.45,14.45,11.71,15.07,28.68,36.4,60.36,53.89,6.6,3.87,1.86,11.15,16.36,24.47,18.694,45.85,4.09,19.73,16.72,21.82,41.39,50.46,46.04,4.09
2005-01-13,69.8,7.67,2.19,10.689,3.649,86089,23.48,14.33,11.67,15.45,28.62,35.675,60.88,54.1,6.23,3.85,1.96,11.01,16.27,24.41,18.72,45.57,4.15,19.16,16.72,21.75,41.94,50.46,45.38,4.13
2005-01-14,70.2,7.85,2.4,10.12,3.67,85850,23.46,13.98,11.75,15.54,28.97,35.24,59.95,54.21,6.28,3.82,1.9,11.09,16.17,25.18,18.77,46.06,4.16,19.5,16.72,21.35,42.53,51.42,45.18,4.3
2005-01-18,70.65,8,2.38,9.88,3.55,86600,23.89,14.42,11.75,15.89,28.35,36.42,63.31,55.73,6.29,3.85,1.95,11.31,16.64,25.19,19.98,47.04,4.19,19.4,16.72,22.11,43.92,51.29,45.51,4.39
2005-01-19,69.88,8.22,2.22,10.39,3.5,86895,23.75,14.36,11.75,15.2,28.12,36,61.2,55.1,6.34,3.9,1.8703,11.18,16.19,24.91,19.75,45.9,4.12,19.25,14.24,21.68,44.65,51.73,45.88,4.23
2005-01-20,70.46,7.94,2.17,10.16,3.53,87600,23.7,14.59,11.78,14.57,29.9,36.28,59.56,54.94,6.85,3.82,1.85,10.99,15.84,24.87,19.6,44.75,4.12,18.85,14.11,21.5,43.6,51.13,45.65,4.17
2005-01-21,70.49,7.83,2.18,9.73,3.511,90000,23.19,15.99,11.65,14.5,29.74,36.18,60.07,55.25,7.66,3.89,1.78,10.46,15.75,24.93,18.63,44.29,4.05,19.06,14.17,21.099,43.55,49.8,45.52,4.06
2005-01-24,70.76,7.65,2.3,10,3.5,90000,22.52,17.03,11.75,14.25,29.6,35.64,59.29,56.8,7.92,3.9,1.7,9.77,15.57,24.86,18.28,44.18,4.12,18.69,14.5,21.29,42.56,49.73,45.48,3.86
2005-01-25,72.05,7.6,2.25,10.35,3.612,89400,22.37,17.351,11.74,14.43,30.46,35.73,60.36,56.2,7.84,3.9,1.58,11.1,15.93,25.51,18.39,43.94,4.09,18.75,15,21.1,42.17,51.09,45.58,3.88
2005-01-26,72.25,7.47,2.24,10.09,3.6,89190,22.4,17.9,11.75,14.2,32.34,36.94,61.17,28.3,7.77,4.09,1.58,10.785,16.17,25.86,18.35,44.06,4.15,19.16,14.24,21.855,42.43,50.72,45.73,3.85
2005-01-27,72.64,7.7,2.3,10.4,3.51,88650,22.89,18.01,11.75,14.22,31.48,36.78,60.14,28.97,7.66,4.35,1.68,10.49,16.04,26.35,18.18,43.59,4.13,19.47,14.1,21.98,42.74,51.86,45.3,3.7
2005-01-28,73.98,7.8,2.21,10.26,3.55,90000,22.61,18.25,11.85,14.21,31.06,36.95,60.05,28.74,7.62,4.22,1.69,10.5,15.85,25.86,17.38,43.29,4.05,19.15,14.06,21.54,42.5,54.22,45.12,3.66
